PetID,Name,Type,Age Years,Primary Breed,Secondary Breed,Gender,Primary Color,Secondary Color,Tertiary Color,Maturity Size,FurLength,Vaccinated,Spayed,Health,Quantity,Fee,Zip Code,Video Amt,Photo Amt,Adopted ,Days to Adoption,Adoption Date
58394848,Hewey,cat,3,Domestic Short Hair,,Female,Brown,Yellow,White,small,short,no,no,healthy,1,0,92102,0,2,YES,26,11/17/2019
63521459,Guys,cat,8,American Shorthair,British Shorthair,Male,Cream,Gray,,large,medium,unknown,no,healthy,1,0,92101,0,4,YES,33,11/18/2019
70014779,Anak Kucing Terbiar 01,cat,1,Domestic Short Hair,,Male,Black,Brown,,small,short,no,no,healthy,1,0,92104,0,5,NO,,
71753413,Liliy,cat,1,Domestic Short Hair,,Female,Black,Brown,,small,short,no,no,healthy,1,0,92101,0,1,YES,46,11/19/2019
77001793,Kiki,dog,2,Mixed Breed,,Female,Brown,Golden,White,medium,medium,no,no,healthy,1,0,92104,0,2,NO,,
81301773,Jessy,cat,1,Domestic Medium Hair,,Female,White,,,small,medium,no,no,healthy,1,0,92104,0,10,YES,1,11/20/2019
92418816,Snowy,cat,1,Domestic Short Hair,,Female,White,,,small,short,unknown,no,healthy,1,0,92104,0,2,YES,2,11/3/2019
93620671,å°é»  Xiao Hei,dog,1,Mixed Breed,,Male,Black,,,medium,short,no,no,healthy,1,0,92102,0,4,YES,27,12/1/2019
94636517,Moo J,cat,4,Domestic Short Hair,,Female,Black,White,,medium,short,no,no,healthy,1,50,92104,1,8,NO,,
95314294,Chuchoy,dog,4,Mixed Breed,,Female,Brown,,,medium,short,yes,no,healthy,1,50,92104,0,1,YES,38,12/1/2019
9.89E+07,Smokey,cat,4,Domestic Medium Hair,,Male,Brown,Cream,,small,medium,no,no,healthy,1,0,92104,0,2,YES,21,12/21/2019
110242085,Gou Gou,dog,4,Mixed Breed,,Male,Black,White,,small,short,yes,no,healthy,1,0,92104,1,2,NO,,
113920513,Flow,cat,8,Burmese,,Female,Black,Yellow,,medium,medium,yes,yes,healthy,1,0,92102,0,4,YES,60,12/22/2019
119903786,Sandy,dog,2,Mixed Breed,,Female,Black,Brown,,medium,short,no,no,minor injury,1,150,92104,0,5,NO,,
122092781,Pablo,cat,4,Tabby,Domestic Short Hair,Male,Yellow,White,,small,short,no,unknown,healthy,1,150,92102,0,4,YES,53,12/23/2019
122683077,Hero,dog,2,Mixed Breed,,Male,Black,Brown,,medium,short,yes,no,healthy,1,0,92104,2,4,YES,53,12/23/2019
125522846,Mr. Potato,cat,6,Domestic Short Hair,,Male,Brown,White,,medium,short,yes,no,healthy,1,0,92101,0,1,NO,,
130797334,Zone A2 P15,dog,6,Mixed Breed,,Female,Brown,,,small,short,yes,no,healthy,1,0,92104,0,3,NO,,
132670005,Cookie Pie,dog,3,Mixed Breed,,Female,Brown,White,,medium,short,yes,no,healthy,1,0,92102,0,4,YES,13,12/21/2019
137916924,Ninjaï¼å®ä½³ï¼,dog,16,Mixed Breed,,Female,Black,Brown,White,medium,short,yes,yes,healthy,1,0,92102,0,7,NO,,
143027239,Oggy & Oreo,cat,3,Domestic Short Hair,,Female,Black,Gray,White,small,short,unknown,unknown,healthy,2,0,92101,0,2,YES,29,10/24/2019
145883970,Lab Mix 4,dog,2,Mixed Breed,Labrador Retriever,Female,Brown,,,medium,medium,yes,no,healthy,1,0,92104,0,0,YES,1,12/1/2019
150257980,Cik B,cat,5,Domestic Short Hair,,Female,Black,Brown,Gray,medium,short,no,no,healthy,1,0,92102,0,1,YES,21,10/26/2019
151481179,Male Persian+DLH,cat,7,Persian,Domestic Long Hair,Male,Black,Brown,Gray,large,long,yes,no,healthy,1,200,92102,0,3,YES,2,10/27/2019
152880177,Found Dog,dog,12,Mixed Breed,,Male,Brown,White,,medium,medium,unknown,unknown,healthy,1,0,92104,0,5,YES,47,10/28/2019
161718095,F9,dog,2,Mixed Breed,Mixed Breed,Female,Cream,,,medium,medium,yes,no,healthy,1,0,92104,0,4,YES,14,12/1/2019
164462023,Miss Abby,dog,1,Mixed Breed,,Female,Brown,,,medium,short,yes,yes,healthy,1,0,92104,0,2,YES,19,12/1/2019
166040493,3 QQ PRINCESS,dog,1,German Spitz,German Shepherd Dog,Female,Black,Brown,White,medium,medium,no,no,healthy,3,0,92104,0,4,YES,10,10/31/2019
169184766,Cookie Girl,dog,4,Mixed Breed,,Female,Black,Yellow,,medium,medium,yes,yes,healthy,1,0,92118,0,3,YES,13,11/1/2019
186779691,Venus,dog,2,Mixed Breed,Mixed Breed,Female,Black,Brown,White,medium,short,no,no,healthy,1,0,92104,0,2,YES,2,11/2/2019
191660250,Tapple,cat,0,Domestic Medium Hair,,Male,Cream,Gray,White,large,medium,yes,yes,healthy,1,0,92102,0,8,YES,9,11/3/2019
192303603,Meeko,dog,1,Labrador Retriever,Mixed Breed,Female,Brown,,,medium,short,unknown,no,healthy,1,0,92104,0,1,YES,32,12/1/2019
207298884,Tuxedoo And Pepe,cat,5,Tuxedo,,Male,Black,White,,small,medium,no,no,healthy,2,0,92104,1,4,NO,,
2.08E+08,Pip,cat,2,Domestic Medium Hair,,Female,Black,Yellow,White,medium,medium,no,no,healthy,1,0,92104,0,0,YES,66,11/5/2019
212157776,,dog,1,Mixed Breed,,Female,Black,Brown,,small,short,no,no,healthy,1,0,92102,0,1,YES,22,11/6/2019
237343008,Yoda,dog,5,Golden Retriever,Mixed Breed,Female,Cream,,,medium,medium,unknown,unknown,healthy,1,0,92102,0,6,YES,26,12/1/2019
237551493,A Kitten For Good Home.,cat,2,Domestic Short Hair,,Female,Gray,White,,small,short,unknown,unknown,healthy,1,0,92104,0,5,YES,2,11/8/2019
239844635,Female 8,dog,1,Mixed Breed,,Female,Black,Gray,,medium,short,no,no,healthy,1,0,92102,0,1,YES,39,11/9/2019
249112486,Massimo & Latte,cat,2,Domestic Medium Hair,Domestic Short Hair,Female,Black,Brown,White,small,medium,no,no,healthy,2,0,92104,0,4,YES,1,11/10/2019
258667857,Kitten 1,cat,2,Bengal,Domestic Short Hair,Male,Black,White,,small,medium,no,unknown,healthy,1,0,92104,0,2,YES,1,11/11/2019
263598073,MARU The Mixed Kitten,cat,2,Domestic Medium Hair,,Female,Black,White,,medium,medium,no,no,healthy,1,60,92107,0,8,YES,82,11/12/2019
267841852,Zorro,cat,12,Siamese,Maine Coon,Male,Black,Golden,White,medium,medium,unknown,no,healthy,1,100,92104,0,4,YES,52,11/13/2019
270461683,Oscar,dog,4,Mixed Breed,Mixed Breed,Male,Brown,,,medium,medium,yes,no,healthy,1,0,92104,0,2,YES,17,12/1/2019
271712276,Houdini,cat,2,Domestic Short Hair,,Male,Black,White,,medium,short,no,no,healthy,1,0,92102,0,6,YES,71,10/10/2019
282678629,This Kitten Is Homeless!,cat,3,Bengal,American Shorthair,Male,Yellow,White,,small,medium,unknown,unknown,healthy,1,200,92102,0,4,NO,,
285758945,Oscar,dog,0,Mixed Breed,,Male,Brown,Gray,,large,short,unknown,unknown,healthy,1,0,92104,0,5,NO,,
292447561,Karma The Kitten,cat,0,American Shorthair,American Shorthair,Female,Black,Cream,White,small,short,no,no,healthy,1,0,92104,0,4,NO,,
306989556,Junior A.k.a Jay,cat,5,Domestic Short Hair,Domestic Medium Hair,Male,Yellow,White,,medium,short,yes,no,healthy,1,120,92104,0,5,YES,15,10/11/2019
308034707,Owen,dog,2,Mixed Breed,Mixed Breed,Male,Brown,White,,medium,medium,no,no,healthy,1,0,92104,0,6,YES,31,10/12/2019
310045474,Reena,dog,1,Mixed Breed,,Female,Brown,,,medium,medium,no,no,healthy,1,0,92102,0,0,YES,1,12/1/2019
322244807,Okie,dog,2,Mixed Breed,,Female,Brown,,,medium,medium,yes,no,healthy,1,0,92118,0,1,YES,21,12/1/2019
326355730,Scratch,dog,2,Mixed Breed,,Female,Brown,,,medium,short,yes,no,healthy,1,0,92104,0,1,NO,,
329814145,Nancy,dog,2,Mixed Breed,Mixed Breed,Female,Brown,,,medium,medium,no,no,healthy,1,0,92104,0,5,YES,18,12/1/2019
331476348,Taffy And Nutmeg,dog,2,Mixed Breed,,Female,Brown,,,medium,medium,yes,no,healthy,2,0,92104,0,3,YES,28,12/1/2019
341420028,A5,dog,1,Mixed Breed,Mixed Breed,Female,Brown,White,,medium,medium,no,no,healthy,1,0,92104,0,3,YES,3,11/14/2019
343962804,DiDa,cat,3,Tuxedo,,Male,Black,White,,small,short,yes,no,healthy,1,0,92104,0,3,NO,,
351586450,Tiger,cat,4,Tabby,Domestic Short Hair,Male,Brown,Cream,White,medium,short,no,no,healthy,1,0,92102,0,3,YES,56,11/15/2019
355743336,Pince,cat,0,Domestic Short Hair,,Male,Yellow,White,,large,short,yes,yes,healthy,3,0,92104,0,6,YES,7,11/16/2019
358270782,,cat,4,Domestic Short Hair,,Female,Brown,White,,medium,short,no,no,healthy,2,0,92104,0,2,YES,8,11/17/2019
369197890,Benji,dog,2,Mixed Breed,Mixed Breed,Male,Brown,Cream,,medium,short,no,no,healthy,1,0,92104,0,4,YES,28,11/18/2019
375905770,Boboi,cat,3,Domestic Long Hair,British Shorthair,Male,Cream,Gray,,medium,medium,yes,no,healthy,1,200,92104,0,0,YES,1,11/19/2019
378059791,,dog,10,Scottish Terrier Scottie,Mixed Breed,Female,White,,,medium,short,unknown,unknown,healthy,2,0,92102,0,5,NO,,
386990598,Daisy The Pirate,cat,0,Domestic Short Hair,,Female,White,,,medium,short,yes,yes,healthy,1,0,92104,0,4,YES,27,11/20/2019
393365063,Unik,dog,1,Mixed Breed,,Female,Black,Brown,White,medium,short,unknown,no,healthy,1,0,92104,0,3,YES,56,11/3/2019
394217006,Sumi,dog,0,Schnauzer,,Female,Black,Gray,,small,medium,yes,unknown,healthy,1,100,92118,0,4,YES,51,11/22/2019
396910627,Cheepee & Munchee,cat,0,Domestic Short Hair,,Male,Black,Brown,White,medium,short,no,yes,healthy,2,0,92104,0,6,YES,23,11/23/2019
399856928,Tigger,cat,2,Domestic Short Hair,,Male,Black,Brown,,medium,short,no,no,healthy,1,0,92102,0,2,YES,2,12/2/2019
409740892,,cat,1,Domestic Short Hair,,Female,Black,Brown,,small,short,unknown,no,healthy,1,0,92102,0,3,YES,36,12/3/2019
422059173,Tiny,cat,4,Domestic Short Hair,,Male,Black,Brown,White,small,short,no,no,healthy,1,10,92102,0,4,YES,2,12/4/2019
426662616,No Name Yet,cat,3,Domestic Medium Hair,,Male,Golden,Yellow,White,small,medium,unknown,unknown,healthy,1,0,92104,0,4,YES,5,12/5/2019
428877021,Buddy,cat,0,Domestic Short Hair,,Female,Black,Brown,White,large,short,yes,yes,healthy,1,0,92104,0,1,YES,7,12/6/2019
429019089,Twinkle,dog,2,Mixed Breed,,Female,Black,Brown,,medium,medium,yes,no,healthy,1,0,92104,0,1,YES,4,12/7/2019
434691342,Brave Girl,dog,1,Mixed Breed,Mixed Breed,Female,Black,Yellow,White,medium,short,no,no,healthy,1,0,92104,0,1,NO,,
448659511,Kitten Bao Bei,cat,8,Domestic Medium Hair,,Female,Black,Brown,White,medium,medium,yes,no,healthy,1,0,92102,0,3,YES,21,12/8/2019
448770499,To Avoid From Poisoning Death,dog,3,Mixed Breed,,Female,Black,Yellow,,large,short,unknown,unknown,healthy,1,0,92104,0,4,NO,,
453125325,Tarzan,dog,0,Beagle,,Male,Black,Brown,White,medium,medium,yes,no,healthy,1,0,92102,0,4,YES,4,12/9/2019
453750088,Joy,dog,2,Mixed Breed,,Female,Black,Brown,,small,short,yes,no,healthy,1,0,92104,0,5,YES,6,12/10/2019
469894776,,dog,1,Mixed Breed,,Female,Black,Brown,,medium,medium,no,no,healthy,1,20,92104,0,12,YES,7,12/11/2019
477456925,BRUNO,dog,2,Shetland Sheepdog Sheltie,Mixed Breed,Male,Black,Brown,Cream,medium,medium,no,no,healthy,1,50,92104,0,5,YES,6,12/12/2019
479500716,Gold,cat,9,Persian,Bengal,Female,Black,Brown,Yellow,medium,medium,no,no,healthy,1,0,92104,0,2,YES,1,12/13/2019
487531377,Fox,cat,3,Domestic Short Hair,,Female,Black,White,,medium,short,yes,no,healthy,1,0,92104,1,5,NO,,
509180812,Pollux,dog,18,Mixed Breed,,Male,Brown,White,,medium,short,unknown,unknown,healthy,1,0,92104,0,4,NO,,
513062327,A4,dog,3,Mixed Breed,Mixed Breed,Female,Black,Brown,,medium,medium,yes,no,healthy,1,0,92104,0,2,YES,38,12/14/2019
514319114,,cat,2,Domestic Long Hair,,Female,Black,Golden,White,medium,long,no,no,healthy,4,0,92101,0,5,YES,26,12/15/2019
528563012,Harty,dog,2,Mixed Breed,,Female,Brown,White,,medium,short,unknown,no,healthy,1,0,92104,0,9,YES,9,12/16/2019
531452675,Tiger,cat,2,Domestic Short Hair,,Male,Brown,White,,medium,short,unknown,unknown,healthy,1,0,92102,0,7,YES,23,12/17/2019
539177546,Dong Dong,dog,0,Cocker Spaniel,,Male,Golden,,,medium,long,unknown,unknown,healthy,1,0,92104,0,5,YES,39,12/1/2019
541400630,2 Black Pups (Sibling-Male-1 Month),dog,1,Mixed Breed,,Female,Black,,,medium,short,no,no,healthy,1,0,92104,0,5,YES,35,12/1/2019
541904323,ChaoChao,cat,3,Tuxedo,,Male,Black,White,,small,short,yes,no,healthy,1,0,92104,0,3,NO,,
548351895,Shankly,cat,7,Domestic Short Hair,,Male,Yellow,White,,medium,short,no,yes,healthy,1,0,92104,0,1,YES,24,12/20/2019
549273935,MuiMui,dog,1,Mixed Breed,Mixed Breed,Female,Cream,,,medium,medium,no,no,healthy,1,0,92102,0,2,YES,27,12/1/2019
550405709,Tom,cat,9,Domestic Short Hair,,Male,Brown,,,medium,short,no,no,healthy,1,0,92101,0,4,NO,,
556549333,Bosco The Bulldog,dog,0,Bull Terrier,,Male,Black,Brown,White,medium,short,yes,yes,healthy,1,0,92104,0,4,YES,55,12/22/2019
556599752,,cat,3,Domestic Short Hair,,Female,Black,Yellow,Gray,medium,short,no,no,healthy,1,50,92102,0,4,YES,14,12/23/2019
560232264,Chiko,cat,4,Domestic Short Hair,,Female,Gray,,,medium,short,no,no,healthy,1,50,92104,0,6,YES,5,12/23/2019
564356241,Chihuahua Mix,dog,7,Chihuahua,Chihuahua,Female,Cream,White,,small,short,yes,yes,healthy,1,0,92101,0,3,NO,,
573900346,Cute Orange Kitten,cat,5,Domestic Short Hair,,Male,Golden,Yellow,,medium,short,no,no,healthy,1,0,92104,0,5,YES,2,12/21/2019
603892936,Smurf,cat,1,Oriental Short Hair,,Female,Gray,White,,medium,short,no,no,healthy,1,0,92104,0,1,YES,28,12/26/2019
607744326,Ah Gray,cat,2,Domestic Short Hair,,Male,Black,Gray,White,small,medium,no,unknown,healthy,1,0,92102,0,2,YES,30,12/27/2019
610246129,Choco,cat,3,Domestic Short Hair,,Male,Black,White,,medium,short,no,no,healthy,1,15,92104,0,4,YES,23,12/28/2019
615213076,Lela,cat,6,Tabby,,Female,Gray,,,medium,short,no,no,healthy,1,50,92104,0,4,YES,19,12/29/2019
637186543,Notty Boy,cat,8,Domestic Short Hair,,Male,Brown,White,,medium,short,yes,yes,healthy,1,0,92104,0,5,YES,38,10/1/2019
648897870,Joey & Barbie,cat,12,Domestic Medium Hair,,Female,Brown,White,,medium,medium,unknown,unknown,healthy,2,0,92104,0,4,NO,,
662011890,Coco And Nomok,cat,8,Domestic Short Hair,Domestic Short Hair,Female,White,,,medium,short,no,no,healthy,2,0,92102,0,2,NO,,
662564431,Nyanyaw,cat,8,Domestic Short Hair,,Male,Black,White,,small,short,no,unknown,healthy,1,0,92104,0,7,YES,32,10/2/2019
677282310,Jen Li,dog,1,Labrador Retriever,Mixed Breed,Male,Brown,,,medium,short,unknown,no,healthy,1,0,92104,0,1,YES,36,12/1/2019
685010499,JACKSON,dog,12,Mixed Breed,,Male,Brown,,,medium,short,yes,yes,healthy,1,0,92104,0,2,NO,,
704502836,Kleintje,cat,18,Domestic Short Hair,,Female,Black,,,medium,medium,yes,yes,healthy,1,0,92102,0,0,YES,22,10/30/2019
704737525,Bebo And Bobo,dog,2,Mixed Breed,,Male,Black,Brown,Golden,medium,medium,no,no,healthy,2,0,92111,0,18,YES,42,10/5/2019
705117847,"Jimmy, Jack & Joe",cat,2,Domestic Short Hair,,Male,Golden,Gray,,small,short,no,no,healthy,3,0,92102,0,5,YES,3,10/6/2019
710126170,No Name 2,dog,3,Mixed Breed,,Female,Black,Cream,White,medium,medium,no,no,healthy,2,0,92104,0,4,YES,51,10/7/2019
719917454,Bambee,dog,9,Mixed Breed,,Male,White,,,medium,short,yes,yes,healthy,1,150,92104,0,5,NO,,
724736153,Jelly And Chocolate,dog,4,Mixed Breed,,Female,Black,Brown,,medium,medium,unknown,unknown,healthy,2,0,92104,0,0,NO,,
727567154,Chip,cat,3,Domestic Short Hair,,Male,Black,Gray,White,medium,short,yes,no,healthy,1,0,92104,0,5,YES,17,10/8/2019
734123308,Jessie,dog,1,Mixed Breed,,Female,Cream,,,medium,medium,no,no,healthy,1,0,92104,0,3,YES,3,12/1/2019
737413132,Ebony,dog,2,Mixed Breed,,Female,Black,Brown,,medium,short,unknown,no,healthy,1,0,92104,0,1,YES,2,10/10/2019
752491221,Take This Lovely Girl,cat,6,Domestic Medium Hair,,Female,Golden,White,,medium,medium,yes,yes,healthy,1,0,92104,0,13,YES,1,10/11/2019
761523328,Junior,dog,2,Border Collie,Rhodesian Ridgeback,Male,Black,Brown,White,medium,short,yes,no,healthy,2,0,92104,0,8,YES,8,10/12/2019
769579681,Daisy,dog,1,Mixed Breed,,Female,Black,Brown,,medium,medium,no,no,healthy,1,0,92118,0,1,YES,54,10/13/2019
774289137,Puffy,dog,0,Shih Tzu,,Male,Brown,Cream,White,small,medium,yes,unknown,healthy,1,100,92104,0,4,YES,4,10/14/2019
776354931,..no More Inquiry Pl,cat,1,Persian,,Female,Black,,,small,medium,yes,no,healthy,1,0,92102,0,1,YES,14,10/15/2019
786486296,Oreo,cat,5,Domestic Short Hair,,Male,Black,,,medium,short,yes,no,healthy,1,50,92104,0,2,YES,31,10/16/2019
796774834,Banjo,dog,1,Mixed Breed,,Female,Black,Yellow,White,medium,short,no,no,healthy,1,0,92104,0,1,NO,,
808144591,Dou Dou (for PJ Area),dog,3,Belgian Shepherd Malinois,,Female,Brown,,,extra large,medium,yes,no,healthy,1,0,92107,0,1,YES,4,12/1/2019
816112569,Sheru,cat,1,Domestic Short Hair,,Male,Black,Brown,White,medium,short,yes,no,healthy,1,0,92104,0,5,YES,9,10/18/2019
822193428,Four Kittens,cat,2,Domestic Medium Hair,,Male,Black,Gray,,medium,medium,no,no,healthy,4,0,92104,0,1,YES,12,10/19/2019
831505752,Panda,cat,7,Domestic Long Hair,Tabby,Male,Black,White,,large,long,no,no,healthy,1,0,92104,0,5,YES,48,10/20/2019
837574272,Billu,cat,6,Domestic Medium Hair,,Male,White,,,medium,medium,no,no,healthy,1,0,92111,0,4,YES,21,10/21/2019
838934661,Fluffy Luna,cat,5,Domestic Long Hair,,Female,Black,,,small,long,no,no,healthy,1,0,92104,0,2,YES,4,10/31/2019
839733624,Millan,dog,2,Mixed Breed,,Male,Brown,White,,medium,short,yes,no,healthy,1,0,92104,0,2,YES,35,10/23/2019
840949648,Amelia,dog,2,Mixed Breed,Spitz,Female,Black,Brown,Cream,medium,short,no,no,healthy,1,0,92104,0,1,YES,18,10/24/2019
850875906,Bebek,cat,3,Domestic Short Hair,,Male,Black,Gray,,small,short,no,no,healthy,1,0,92102,0,4,YES,15,10/25/2019
852296968,Snow White (å°ç½ï¼,dog,15,Mixed Breed,,Female,Yellow,White,,medium,short,no,yes,healthy,1,0,92111,0,1,NO,,
854319675,PacPac,dog,10,Mixed Breed,,Male,White,,,medium,short,yes,yes,healthy,1,300,92104,0,2,NO,,
859426703,Coco Chanel,dog,6,Mixed Breed,,Female,Brown,,,medium,short,unknown,unknown,healthy,1,0,92104,0,3,NO,,
863262193,Boboy,cat,4,Domestic Short Hair,,Male,Gray,,,medium,short,yes,no,healthy,1,0,92102,0,2,YES,1,10/26/2019
863947277,A Playful One,dog,2,Mixed Breed,Mixed Breed,Female,White,,,small,short,no,no,healthy,1,0,92104,0,4,YES,42,12/1/2019
867308404,Olat,cat,0,Domestic Medium Hair,,Male,Brown,Cream,,small,medium,no,no,healthy,1,0,92104,0,4,YES,1,10/28/2019
872317673,Christmas,dog,4,Rottweiler,German Shepherd Dog,Female,Black,Cream,,large,medium,yes,no,healthy,1,200,92104,0,5,YES,8,10/29/2019
878214747,Messy Puppy,dog,2,Mixed Breed,,Male,Black,White,,medium,medium,no,no,healthy,1,0,92111,0,3,YES,28,10/30/2019
888116751,Minnie,cat,3,Domestic Medium Hair,,Female,Golden,Gray,White,medium,medium,yes,no,healthy,1,0,92104,0,4,YES,19,12/7/2019
902114441,Mii,cat,5,Domestic Medium Hair,,Female,Black,Yellow,White,medium,short,unknown,no,healthy,1,0,92104,0,1,NO,,
906308870,Z2,dog,2,Mixed Breed,Mixed Breed,Male,Black,Brown,,medium,medium,yes,no,healthy,1,0,92104,0,5,YES,2,12/8/2019
918471707,Please Adopt Me..,cat,2,Domestic Short Hair,,Female,Black,Yellow,White,medium,short,no,no,healthy,2,0,92104,0,3,YES,2,12/19/2019
919820452,Teddy,dog,2,Mixed Breed,,Male,White,,,medium,short,yes,no,healthy,1,0,92118,0,5,YES,55,12/20/2019
924373704,,cat,3,Domestic Medium Hair,,Female,Black,Brown,Gray,medium,medium,yes,no,healthy,1,60,92104,0,5,YES,4,12/21/2019
934546487,Blackie,cat,4,Domestic Short Hair,,Male,Black,,,medium,medium,no,no,healthy,1,0,92104,0,1,YES,38,12/22/2019
945346188,Zoey,dog,0,Cocker Spaniel,,Female,Brown,Golden,,small,long,yes,unknown,minor injury,1,0,92102,0,3,YES,17,12/23/2019
954243934,Mumu,dog,12,Mixed Breed,,Female,Yellow,Cream,,medium,medium,yes,yes,healthy,1,0,92102,0,4,YES,61,12/23/2019
966598774,Maya,cat,17,Domestic Medium Hair,,Female,White,,,medium,medium,yes,no,healthy,2,0,92104,0,4,NO,,
969634296,Casper,dog,12,Great Dane,,Female,Black,,,extra large,short,yes,no,minor injury,1,0,92102,0,3,YES,56,12/15/2019
970910885,Siberia (Abang Rimau Akar),cat,2,Bengal,Domestic Short Hair,Male,Black,White,,large,short,no,no,healthy,1,90,92104,0,5,YES,87,12/16/2019
975091325,"3 Brother (Daidi, Kingking & Ince)",dog,10,Mixed Breed,Mixed Breed,Male,Black,Golden,White,medium,medium,yes,no,healthy,3,0,92104,1,12,NO,,
978526235,Peaches,cat,2,Domestic Short Hair,,Female,White,,,medium,short,yes,no,healthy,1,30,92104,0,1,YES,8,12/17/2019
983160271,ROTTIE,dog,8,Mixed Breed,Rottweiler,Male,Black,,,large,short,yes,yes,healthy,1,0,92104,0,1,YES,23,12/18/2019
993113176,Poor Baby,dog,3,Mixed Breed,,Male,Cream,,,medium,short,no,no,healthy,1,0,92102,0,2,YES,2,12/19/2019
994450113,*blue Eyes - Blackie*,cat,1,Domestic Medium Hair,,Male,Black,,,medium,medium,no,no,healthy,1,0,92107,0,1,YES,3,12/20/2019
998488372,Mariah,dog,3,Shiba Inu,Mixed Breed,Female,Brown,,,medium,short,yes,no,healthy,1,0,92104,0,3,YES,68,12/21/2019
7.43E+09,Soup,cat,6,Domestic Short Hair,,Male,Cream,,,medium,short,yes,no,healthy,1,0,92104,0,4,YES,3,12/22/2019
9.00E+11,Bieber,cat,0,Persian,Domestic Long Hair,Female,Brown,Cream,Gray,large,long,yes,yes,healthy,1,0,92101,0,2,YES,8,12/23/2019
2.51E+13,Ginger Boy,cat,3,Domestic Short Hair,,Male,Brown,Golden,Cream,medium,short,no,no,healthy,1,0,92104,0,1,YES,26,12/23/2019
2.69E+13,Sandy,cat,17,Persian,Domestic Long Hair,Female,Black,Golden,Gray,medium,long,yes,no,healthy,1,0,92104,0,4,YES,6,12/21/2019
5.02E+13,Giggs,dog,0,Old English Sheepdog,,Male,Black,Golden,Cream,medium,long,yes,yes,healthy,1,0,92104,0,9,YES,34,11/19/2019
7.54E+14,Jaws,dog,12,Mixed Breed,,Female,Black,Brown,,medium,medium,no,unknown,healthy,1,0,92104,0,4,YES,14,11/20/2019
8.04E+14,Mini,dog,12,Mixed Breed,,Female,Brown,,,medium,short,yes,yes,healthy,1,0,92104,0,3,NO,,
5.65E+15,Sally,dog,2,Mixed Breed,,Female,Black,Brown,,medium,medium,no,no,healthy,1,1,92118,0,2,YES,19,11/3/2019
9.59E+15,Nana,dog,3,Mixed Breed,Jack Russell Terrier (Parson Russell Terrier),Female,Cream,,,medium,short,yes,no,healthy,1,0,92104,0,1,YES,23,11/22/2019
7.08E+22,2 Cute Tuxedo Kittens For Adoption,cat,3,Domestic Short Hair,,Male,Black,White,,medium,short,no,no,healthy,2,0,92102,0,9,YES,44,11/23/2019
3.60E+28,Meow,cat,3,Domestic Short Hair,Tabby,Male,Black,Brown,,small,short,no,yes,healthy,1,0,92104,0,3,YES,4,11/24/2019
5.27E+32,Comel Kecik,cat,1,Domestic Short Hair,Domestic Short Hair,Female,Black,Brown,White,small,short,no,no,healthy,1,20,92104,0,5,YES,34,11/25/2019
7.49E+34,Ah Boy,dog,6,Mixed Breed,,Male,Black,,,medium,short,yes,no,healthy,1,0,92104,0,5,YES,2,11/26/2019
